"V1","V2"
"ENSG00000162873","KLHDC8A"
"ENSG00000163428","LRRC58"
"ENSG00000164347","GFM2"
"ENSG00000165899","OTOGL"
"ENSG00000166016","ABTB2"
"ENSG00000166407","LMO1"
"ENSG00000166426","CRABP1"
"ENSG00000169515","CCDC8"
"ENSG00000169860","P2RY1"
"ENSG00000170275","CRTAP"
"ENSG00000171790","SLFNL1"
"ENSG00000174137","FAM53A"
"ENSG00000174951","FUT1"
"ENSG00000183647","ZNF530"
"ENSG00000184634","MED12"
"ENSG00000184983","NDUFA6"
"ENSG00000185920","PTCH1"
"ENSG00000187837","HIST1H1C"
"ENSG00000188732","C7orf46"
"ENSG00000196569","LAMA2"
"ENSG00000198682","PAPSS2"
"ENSG00000205562","RP11-497E19.1"
"ENSG00000205726","ITSN1"
"ENSG00000205981","DNAJC19"
"ENSG00000214013","GANC"
"ENSG00000215805","RP11-438O11.1"
"ENSG00000220575","AC093726.4"
"ENSG00000232406","RP11-234K24.3"
"ENSG00000233452","RP11-497D6.4"
"ENSG00000234684","FKBP1A-SDCBP2"
"ENSG00000235374","SSR4P1"
"ENSG00000240289","RP11-240D10.2"
"ENSG00000241058","NSUN6"
"ENSG00000244558","RP11-445H22.4"
"ENSG00000246393","AC008105.1"
"ENSG00000253716","RP13-582O9.5"
"ENSG00000258240","RP1-46F2.3"
"ENSG00000080493","SLC4A4"
"ENSG00000081985","IL12RB2"
"ENSG00000100628","ASB2"
"ENSG00000111783","RFX4"
"ENSG00000111863","C6orf105"
"ENSG00000113296","THBS4"
"ENSG00000115112","TFCP2L1"
"ENSG00000115325","DOK1"
"ENSG00000123700","KCNJ2"
"ENSG00000124145","SDC4"
"ENSG00000139193","CD27"
"ENSG00000163406","SLC15A2"
"ENSG00000164199","GPR98"
"ENSG00000164241","C5orf63"
"ENSG00000171863","RPS7"
"ENSG00000173715","C11orf80"
"ENSG00000224023","RP11-383C5.4"
"ENSG00000226403","RP11-31F19.1"
"ENSG00000229481","LOC147976"
"ENSG00000232642","AC008073.7"
"ENSG00000248049","RP11-453E17.1"
"ENSG00000255750","RP11-283G6.5"
"ENSG00000003137","CYP26B1"
"ENSG00000007516","BAIAP3"
"ENSG00000090376","IRAK3"
"ENSG00000118322","ATP10B"
"ENSG00000127184","COX7C"
"ENSG00000131941","RHPN2"
"ENSG00000135454","B4GALNT1"
"ENSG00000143786","CNIH3"
"ENSG00000144426","NBEAL1"
"ENSG00000172817","CYP7B1"
"ENSG00000235652","RP11-545I5.3"
"ENSG00000250033","RP11-725C19.1"
"ENSG00000021355","SERPINB1"
"ENSG00000108825","AARSD1"
"ENSG00000114544","SLC41A3"
"ENSG00000143761","ARF1"
"ENSG00000164404","GDF9"
"ENSG00000197586","ENTPD6"
"ENSG00000198315","ZNF192"
"ENSG00000257315","ZBED6"
"ENSG00000100983","GSS"
"ENSG00000123977","WDR69"
"ENSG00000167550","RHEBL1"
